name,date,academy,presentation,pyschometrics
SHAMUS ATTENBARROW,2019-09-12,Birmingham,22,53
WALD LYNES,2019-09-12,Birmingham,13,55
LORIA MENLOW,2019-09-12,Birmingham,20,57
GARWOOD MCMEEKIN,2019-09-12,Birmingham,16,48
KEARNEY CERIE,2019-09-12,Birmingham,19,48
DORINE ERRICKER,2019-09-12,Birmingham,20,49
MILLICENT BUCHANAN,2019-09-12,Birmingham,23,59
CLAUDETTE DE CARLO,2019-09-12,Birmingham,15,48
CHEVALIER EYKELBOSCH,2019-09-12,Birmingham,17,54
PENNY TRATHEN,2019-09-12,Birmingham,17,51
JENN BLITZ,2019-09-12,Birmingham,23,57
TRENT SOUTHWICK,2019-09-12,Birmingham,21,56
ELIZABET SANBROKE,2019-09-12,Birmingham,20,60
OFELLA SHELMARDINE,2019-09-12,Birmingham,18,58
VASILI CARTLEDGE,2019-09-12,Birmingham,15,57
MAUDE ITHELL,2019-09-12,Birmingham,18,52
SARAANN ELCOMBE,2019-09-12,Birmingham,19,50
VEVAY FEIRN,2019-09-12,Birmingham,25,54
MONTY GORRIESSEN,2019-09-12,Birmingham,22,51
VACLAV PIETESCH,2019-09-12,Birmingham,27,61
MERCIE GROGER,2019-09-12,Birmingham,24,43
CLEM WOODYEARE,2019-08-13,London,16,39
WESLEY TOLERTON,2019-08-13,London,19,59
CORNIE LOMATH,2019-08-13,London,22,45
SAUNCHO AVESON,2019-08-13,London,30,58
LEONORE PETTIFORD,2019-08-13,London,21,62
LY FERRO,2019-08-13,London,21,54
PAMELINA ITZKOVSKY,2019-08-13,London,19,58
GALE QUARTLEY,2019-08-13,London,20,62
MERELL TREMMIL,2019-08-13,London,20,67
ILARIO YEATES,2019-08-13,London,24,53
HEWETT LAMPUTT,2019-08-13,London,21,54
DEBBY HADIGATE,2019-08-13,London,20,48
DERK ANDRESS,2019-08-13,London,19,64
CHUCHO GALFOUR,2019-08-13,London,19,56
ORLAND GLAISNER,2019-08-13,London,24,54
LEDA AHARONI,2019-08-13,London,18,59
AMITY PANCAST,2019-08-13,London,17,46
URBANO REINISCH,2019-08-13,London,21,55
LAMOND LEVENSKY,2019-08-13,London,22,68
BALDUIN CULLETON,2019-08-13,London,18,52
OLIY ELLAR,2019-08-13,London,25,56
NIAL ORET,2019-08-13,London,25,58
RENAULT ROCKELL,2019-08-13,London,23,45
CHRISTIAN BINGLEY,2019-08-13,London,19,59
CAMERON GLEAVES,2019-02-13,London,17,53
NAOMI SHORTT,2019-02-13,London,20,56
SHERLOCK SIBLEY,2019-02-13,London,23,51
JOSEFINA VEILLARD,2019-02-13,London,18,46
LANE MYRKUS,2019-02-13,London,21,52
TADEO HOURIGAN,2019-02-13,London,14,55
DOROTHEE SALMOND,2019-02-13,London,25,40
ANTONIA MACKAIG,2019-02-13,London,23,53
ERAN CICCI,2019-02-13,London,17,46
BERYLE D'ANTONIO,2019-02-13,London,18,65
HERMIONE TUME,2019-02-13,London,17,48
ARDA DISBROW,2019-02-13,London,22,51
TULLEY HINDRICH,2019-02-13,London,18,49
DIONYSUS GARTER,2019-02-13,London,22,66
JERE JORDINE,2019-02-13,London,20,51
HERMINIA BRETTEL,2019-02-13,London,22,57
OBADIAH HEGLEY,2019-02-13,London,20,47
GANNIE LAMBERTESCHI,2019-02-13,London,18,67
HILDAGARDE CHURCHLOW,2019-02-13,London,23,62
BRENA CREEBER,2019-02-13,London,22,53
LILLLIE KUN,2019-02-13,London,20,61
VALE TREVARTHEN,2019-02-13,London,18,52
FABIAN EXELL,2019-02-13,London,25,60
ALESSANDRA KROLLMANN,2019-02-13,London,16,57
SHURLOCKE HELMKE,2019-02-13,London,20,45
EL DURANTE,2019-02-13,London,21,53
BENEDICK ARNHOLD,2019-02-13,London,16,62
LUCE MIDDEN,2019-02-13,London,23,60
AMOS VASNEV,2019-02-13,London,19,50
SILVESTER CALLER,2019-02-13,London,19,61
PHILLIS MELIN,2019-02-13,London,26,58
ULRIC MORDIN,2019-02-13,London,23,46
LENNA DAULBY,2019-06-13,Birmingham,24,58
ESDRAS PIRES,2019-06-13,Birmingham,19,50
GIANNI DECROIX,2019-06-13,Birmingham,22,46
SALIM EDMUNDSON,2019-06-13,Birmingham,26,52
VANIA INGRAY,2019-06-13,Birmingham,25,53
BRIANO NISSLE,2019-06-13,Birmingham,16,59
VALERYE HOBBING,2019-06-13,Birmingham,16,45
BUNNY BARNS,2019-06-13,Birmingham,21,54
MELLI RICHARDET,2019-06-13,Birmingham,17,48
GUIDO LASSELLS,2019-06-13,Birmingham,23,60
WALDEN LAVELLE,2019-06-13,Birmingham,14,51
AUDRYE WALKINGSHAW,2019-06-13,Birmingham,18,54
PACE RAINE,2019-06-13,Birmingham,15,41
STAFFARD LOAD,2019-06-13,Birmingham,16,59
DAREN HOUSON,2019-06-13,Birmingham,18,52
WILLI GOULSTON,2019-06-13,Birmingham,15,44
ARETHA ROSENBOIM,2019-06-13,Birmingham,13,58
GERIANNE CHRISTOFOROU,2019-06-13,Birmingham,25,50
ADAH FOST,2019-06-13,Birmingham,20,53
ALISTAIR MCCARTNEY,2019-06-13,Birmingham,14,52
PALMER SNADDIN,2019-06-13,Birmingham,24,58
KETTIE LUFKIN,2019-06-13,Birmingham,18,49
DACY POCOCKE,2019-06-13,Birmingham,19,54
ROSELIA TANSWELL,2019-03-13,London,16,62
STEFAN INSLEY,2019-03-13,London,25,57
DOROTHEE WILLACOT,2019-03-13,London,25,47
DELMORE O'LOINN,2019-03-13,London,21,53
LAURAL O'TEAGUE,2019-03-13,London,19,50
LYNDSIE BAILLES,2019-03-13,London,22,58
CASSONDRA TRIPLET,2019-03-13,London,28,62
UMEKO SYDALL,2019-03-13,London,19,53
CRAWFORD DUGOOD,2019-03-13,London,20,48
DAMARIS VALLANCE,2019-03-13,London,20,60
ELSA BIRRANE,2019-03-13,London,13,53
VELVET GHIOTTO,2019-03-13,London,19,47
ANTONI SPARHAWK,2019-03-13,London,21,57
PEIRCE MACGRAY,2019-03-13,London,23,39
CLARABELLE DYKINS,2019-03-13,London,17,45
KARINA ANDREJEVIC,2019-03-13,London,25,63
KAYLIL GISSING,2019-03-13,London,20,57
GABBY NEILSON,2019-03-13,London,17,55
ANTON ISAACS,2019-03-13,London,22,68
WINNE KELLOCH,2019-03-13,London,24,62
JETH VASILYONOK,2019-03-13,London,17,47
ALLENE HAND,2019-03-13,London,19,56
ELFRIDA ENDEN,2019-03-13,London,19,55
RUSTIE CORMODE,2019-03-13,London,21,54
DES TOMOVIC,2019-03-13,London,21,55
STERN ASHFULL,2019-03-13,London,22,55
STEPHAN ETCHINGHAM,2019-03-13,London,21,48
JEFFY DUDDING,2019-03-13,London,22,54
MAURINE VEDENYAKIN,2019-03-13,London,20,51
GABBEY CAESMAN,2019-11-13,London,18,61
CONNY SAMMS,2019-11-13,London,17,64
MONAH BRIMMACOMBE,2019-11-13,London,19,54
GASPAR MOIR,2019-11-13,London,26,64
JON MCMENAMY,2019-11-13,London,15,57
CHRISTA TROUGHTON,2019-11-13,London,18,56
EMMALEE PEAPLE,2019-11-13,London,22,56
ELVYN LYBURN,2019-11-13,London,13,67
MANFRED DMITROVIC,2019-11-13,London,11,37
INGAMAR MACKRELL,2019-11-13,London,21,53
JUNIE RAMMELL,2019-11-13,London,22,57
SHAE DI RUGGIERO,2019-11-13,London,21,63
LINNIE ESTERBROOK,2019-11-13,London,16,49
BRANDI FENNESSY,2019-11-13,London,21,62
TRUMANN CARILLO,2019-11-13,London,21,50
EUNICE MARGUERITE,2019-11-13,London,17,55
CATI NUCATOR,2019-11-13,London,18,57
STACI FURLOW,2019-11-13,London,18,52
HURLEIGH SEGAR,2019-11-13,London,24,58
FAR RAPI,2019-11-13,London,22,53
JONIE GETLEY,2019-11-13,London,24,60
FLINT BAINE,2019-11-13,London,19,35
ALEXANDRA BELBIN,2019-11-13,London,14,67
COOPER INGRAHAM,2019-08-14,London,22,54
ERASTUS MCELRATH,2019-08-14,London,19,61
BRANDAIS ONDRA,2019-08-14,London,17,48
VIOLET LUSCOMBE,2019-08-14,London,17,53
THOMASINA PRANDONI,2019-08-14,London,20,48
CHARLIE DANELUT,2019-08-14,London,20,55
FAIRLIE COGZELL,2019-08-14,London,24,54
ARNY COORINGTON,2019-08-14,London,23,56
ERL HAMMOR,2019-08-14,London,21,48
SAYRE WEBBERLEY,2019-08-14,London,21,51
SEUMAS LEMONBY,2019-08-14,London,24,57
ROCKEY ROBARTS,2019-08-14,London,25,53
SHELA MCCALL,2019-08-14,London,24,62
SONNIE MALENFANT,2019-08-14,London,22,51
PAUL CHISLETT,2019-08-14,London,21,53
ARCHER HOBBEN,2019-08-14,London,16,56
MITCHEL BATES,2019-08-14,London,20,60
DUR PLOM,2019-08-14,London,24,56
ANGEL HULSON,2019-08-14,London,23,56
GAYLEEN PETRU,2019-08-14,London,19,55
WELBY WISHKAR,2019-08-14,London,16,54
BORD OLLIN,2019-08-14,London,28,55
ELFRIEDA BILHAM,2019-08-14,London,17,49
KATHRYNE ATHRIDGE,2019-08-14,London,20,48
MITCHEL BLACKESLAND,2019-08-14,London,15,53
DARELLE MICHAL,2019-08-14,London,19,49
RODRIGO ENDRIGHI,2019-08-14,London,20,59
CARLYN REISIN,2019-08-14,London,21,52
CIEL POIZER,2019-08-14,London,20,51
MARIQUILLA COWOPE,2019-08-14,London,21,51
JOEY MACGEFFEN,2019-08-14,London,20,58
GRIS BRAME,2019-08-14,London,16,55
FELICIO BETJEMAN,2019-02-14,Birmingham,13,50
NICOLAI NUSSEY,2019-02-14,Birmingham,18,60
SULLY ROSENBARG,2019-02-14,Birmingham,17,62
BRANDYN MACCLINTON,2019-02-14,Birmingham,24,59
TOBEY MABBETT,2019-02-14,Birmingham,19,54
GERALDINE PINNOCKE,2019-02-14,Birmingham,22,69
LANAE CHRISTOPHLE,2019-02-14,Birmingham,20,60
BARRIE SCHRUURS,2019-02-14,Birmingham,17,62
FAYRE SWADLINGE,2019-02-14,Birmingham,20,55
ELORA ELLEN,2019-02-14,Birmingham,16,64
KALIL MCPAIKE,2019-02-14,Birmingham,24,65
GAVIN LACKEY,2019-02-14,Birmingham,22,47
NICOL BRAGGE,2019-02-14,Birmingham,24,60
CONNOR GEGG,2019-02-14,Birmingham,20,52
CRISSY MCCRACKAN,2019-02-14,Birmingham,13,53
FARAH ELY,2019-02-14,Birmingham,15,61
VERNEY STIEGER,2019-02-14,Birmingham,23,51
SOLLY KOLLAS,2019-02-14,Birmingham,25,54
KIPP LE HUQUET,2019-02-14,Birmingham,21,64
SONJA SCIBSEY,2019-02-14,Birmingham,15,60
GABRIELLE CLAYAL,2019-02-14,Birmingham,22,49
LEE HOULWORTH,2019-02-14,Birmingham,21,49
EASTER RAGLESS,2019-02-14,Birmingham,17,52
ALFONS MARCHINGTON,2019-02-14,Birmingham,20,56
EYDIE TANTON,2019-02-14,Birmingham,23,53
GODWIN ROLOFF,2019-02-14,Birmingham,13,59
ZAK HAWES,2019-02-14,Birmingham,18,62
KARNA HENKMANN,2019-02-14,Birmingham,20,48
PATTIN NECREWS,2019-02-14,Birmingham,24,48
SHELBA WESTNAGE,2019-02-14,Birmingham,22,53
EDI O' FINAN,2019-03-14,Birmingham,15,45
ANSELM MARROW,2019-03-14,Birmingham,18,55
LORANT PESIC,2019-03-14,Birmingham,26,49
STERN SKRZYNSKI,2019-03-14,Birmingham,21,38
CORNELIA COWLEY,2019-03-14,Birmingham,26,63
KEVON O'SHAVLAN,2019-03-14,Birmingham,14,54
MICHELE GONSALVO,2019-03-14,Birmingham,22,51
RUTHE HAMSHER,2019-03-14,Birmingham,22,37
AVIVAH LYNAS,2019-03-14,Birmingham,24,50
GENE PRATTY,2019-03-14,Birmingham,27,48
JEANNETTE BAZELLE,2019-03-14,Birmingham,18,57
BARDE MCGENEAY,2019-03-14,Birmingham,24,51
CIRILO WORLEY,2019-03-14,Birmingham,19,51
FRAZER TRAHMEL,2019-03-14,Birmingham,19,57
JAQUENETTA CATONNE,2019-05-14,London,28,60
CELLO RICIOPPO,2019-05-14,London,20,55
BERRI COCKLIN,2019-05-14,London,17,63
JOSHUAH POURVEER,2019-05-14,London,22,52
TOBIE CULCHETH,2019-05-14,London,17,62
TRICIA KIENLEIN,2019-05-14,London,18,49
STORMIE WILLOUGHEY,2019-05-14,London,15,49
ADENA FENKEL,2019-05-14,London,22,45
PADRAIC LABAT,2019-05-14,London,17,68
EMOGENE GROUVEL,2019-05-14,London,19,56
DANICA ISBELL,2019-05-14,London,24,64
OSGOOD MAHOOD,2019-05-14,London,19,54
COLETTE DANNIELL,2019-05-14,London,21,67
MELODEE KLINK,2019-05-14,London,19,52
CLEMMIE BEACH,2019-05-14,London,24,51
LAURIE HOGGAN,2019-05-14,London,23,53
BEE BECKET,2019-05-14,London,21,39
JDAVIE FRISBY,2019-05-14,London,26,58
RAQUELA ARMAND,2019-05-14,London,22,62
MARLYN PALLESKE,2019-05-14,London,19,59
HERBY TOMAINI,2019-05-14,London,22,64
WILMA DAGGER,2019-05-14,London,25,43
KARRAH CHATTERS,2019-05-14,London,23,50
TAB SHITLIFF,2019-05-14,London,21,63
ASHLEY HARMANT,2019-05-14,London,20,48
AUGUSTUS KORBA,2019-05-14,London,23,70
MELANIE DAWBURY,2019-05-14,London,24,50
MARCY TREAT,2019-05-14,London,20,56
DORIE SPEARES,2019-11-14,Birmingham,23,61
JUNIE JEANEQUIN,2019-11-14,Birmingham,17,54
MYRNA STIFF,2019-11-14,Birmingham,18,53
PIETER SNOZZWELL,2019-11-14,Birmingham,25,51
LINDY CROYDEN,2019-11-14,Birmingham,24,55
TRUDIE SYERS,2019-11-14,Birmingham,23,53
LEZLEY PELERIN,2019-11-14,Birmingham,21,45
YVON FRY,2019-11-14,Birmingham,18,55
AIMEE PEDRAZZI,2019-11-14,Birmingham,26,60
LORITA LITCHMORE,2019-11-14,Birmingham,16,52
POLLYANNA MEAK,2019-11-14,Birmingham,19,48
VINCENTS PRIGG,2019-11-14,Birmingham,20,58
AGGIE REINMAR,2019-11-14,Birmingham,23,40
PHEBE BENFIELD,2019-11-14,Birmingham,17,46
WOODY SWYER-SEXEY,2019-11-14,Birmingham,20,49
JULIANE JACOBSSEN,2019-11-14,Birmingham,17,65
LANNIE MCDONELL,2019-11-14,Birmingham,19,59
PEGGY EARNSHAW,2019-11-14,Birmingham,20,58
DICK BRIMLEY,2019-11-14,Birmingham,20,49
TABB MORGANS,2019-11-14,Birmingham,20,51
TOBIE FILIPCZYNSKI,2019-11-14,Birmingham,21,49
BRETT DANIELI,2019-11-14,Birmingham,22,39
REGINAULD PEDROLI,2019-11-14,Birmingham,16,61
TAD WORSLEY,2019-11-14,Birmingham,21,59
JED DURRAM,2019-11-14,Birmingham,22,65
NEDA MARMYON,2019-08-15,Birmingham,23,62
FREDIA BARNISH,2019-08-15,Birmingham,21,44
BRITTANEY ROUGHEY,2019-08-15,Birmingham,19,58
SAREE DAENS,2019-08-15,Birmingham,19,54
STEVIE HOULISTON,2019-08-15,Birmingham,17,62
AXE MCKALL,2019-08-15,Birmingham,16,63
SHAMUS MCCOMISH,2019-08-15,Birmingham,23,56
DEVONDRA BLABEY,2019-08-15,Birmingham,22,57
MARION CONSADINE,2019-08-15,Birmingham,20,60
CELINE DOREE,2019-08-15,Birmingham,17,66
PHYLLYS BAELDE,2019-08-15,Birmingham,24,69
CECILE LATES,2019-08-15,Birmingham,22,55
CHARLEAN DEVONS,2019-08-15,Birmingham,14,52
AVRIT GAWITH,2019-08-15,Birmingham,23,59
DORALIN PURKESS,2019-08-15,Birmingham,24,49
NIKOLOS YASHIN,2019-08-15,Birmingham,20,57
EMMANUEL DENISKE,2019-08-15,Birmingham,16,50
MELLA AUBIN,2019-08-15,Birmingham,22,51
CAL LOACHE,2019-08-15,Birmingham,20,53
SALAIDH LOVEDAY,2019-08-15,Birmingham,16,48
GISELA AISBETT,2019-08-15,Birmingham,19,60
GIFFORD BUFFEY,2019-08-15,Birmingham,25,40
MENDIE MCBEAN,2019-08-15,Birmingham,27,52
DONALL SKITCH,2019-08-15,Birmingham,11,62
CORNALL WASTALL,2019-08-15,Birmingham,16,64
NANCIE SAZIO,2019-08-15,Birmingham,16,58
REDFORD BUBBINGS,2019-08-15,Birmingham,19,50
STARR CURCHER,2019-08-15,Birmingham,25,59
PEGEEN O'LOCHAN,2019-08-15,Birmingham,18,61
BERET DEVONSIDE,2019-08-15,Birmingham,23,64
BEVON MUSTILL,2019-08-15,Birmingham,23,56
DONNAMARIE SCHOFIELD,2019-08-15,Birmingham,20,60
SIGISMUND IZKOVICI,2019-08-15,Birmingham,18,50
KATA JEDRASI,2019-08-15,Birmingham,8,6
DOROTHY HAILWOOD,2019-08-15,Birmingham,16,66
ROBINET RENWICK,2019-08-15,Birmingham,20,70
SHAE AINSLIE,2019-08-15,Birmingham,21,58
FLORANCE DURRAM,2019-08-15,Birmingham,17,39
BONDON JOSSELSON,2019-08-15,Birmingham,21,57
CORA KLAUSEWITZ,2019-08-15,Birmingham,24,55
EM DUN,2019-01-15,London,21,56
TAFFY ELDERFIELD,2019-01-15,London,19,46
CLEMMIE KAYLEY,2019-01-15,London,19,56
THORNY UWINS,2019-01-15,London,19,51
DOREY MCQUILLAN,2019-01-15,London,27,53
MARGA SIMMIG,2019-01-15,London,24,56
DEVLAND BENKIN,2019-01-15,London,24,64
WORTH KOS,2019-01-15,London,20,63
REGAN PITTAWAY,2019-01-15,London,20,53
LINNEA DULLING,2019-01-15,London,16,64
GABEY FISBBURNE,2019-01-15,London,19,46
KELLIE ALTHORP,2019-01-15,London,19,63
QUINTUS PENELLA,2019-01-15,London,17,57
GUILLERMO RIHA,2019-01-15,London,20,60
WANIDS SIMISON,2019-01-15,London,20,53
CHERISE DUDBRIDGE,2019-05-15,London,19,49
THURSTAN DENMAN,2019-05-15,London,18,42
MAXI MACGAUGHEY,2019-05-15,London,25,56
ULRIKA LEMERIE,2019-05-15,London,15,58
TAIT HARLETT,2019-05-15,London,21,36
DION PAVLASEK,2019-05-15,London,20,57
RODOLFO WOLOSCHINSKI,2019-05-15,London,19,49
SANSONE CAGHAN,2019-05-15,London,23,48
ADAMO OSMENT,2019-05-15,London,20,51
ALFI JANKU,2019-05-15,London,20,52
OLIVER THACKE,2019-05-15,London,14,52
GARRET PLEASAUNCE,2019-05-15,London,20,55
SHEBA EVERAL,2019-05-15,London,25,52
ADHAM PETROLLI,2019-05-15,London,22,61
GARVIN IANIZZI,2019-05-15,London,18,51
MARYSA HEATHORN,2019-05-15,London,23,67
SANFORD LARKING,2019-05-15,London,19,60
DALT LE GRAND,2019-05-15,London,21,62
RAINER JOSEFOVIC,2019-05-15,London,24,57
SELESTINA MCBEAN,2019-05-15,London,15,51
ALAIN PEINTON,2019-05-15,London,21,61
OSWELL BURDIS,2019-05-15,London,20,47
AUDREY BOSSEL,2019-05-15,London,16,46
MORGEN KENINGHAM,2019-05-15,London,18,49
DENNY ENGA,2019-05-15,London,23,57
IVOR QUOGAN,2019-10-15,London,16,39
THIBAUT EDBROOKE,2019-10-15,London,13,49
CHANCEY BITTEN,2019-10-15,London,18,50
NOLAND ORIGIN,2019-10-15,London,20,55
CORRENA SUTHEREL,2019-10-15,London,26,51
DORETTA HALLOR,2019-10-15,London,20,54
ADDI LARTER,2019-10-15,London,20,43
TIERNEY TWATT,2019-10-15,London,19,51
WILEEN GARTENFELD,2019-10-15,London,20,54
ILEANE MARGARSON,2019-10-15,London,23,63
MATEO HANBURRY,2019-10-15,London,21,58
HOGAN RAFFAN,2019-10-15,London,27,53
CREIGHTON ESTRELLA,2019-10-15,London,21,59
BRYNA DELLE,2019-10-15,London,20,51
CRISTY RUTLEDGE,2019-10-15,London,23,51
CODI KEAR,2019-10-15,London,24,64
MADALYN FACEY,2019-10-15,London,25,60
TYMOTHY TITCHARD,2019-10-15,London,24,52
JANEEN PINNEY,2019-10-15,London,14,59
LOCKE LACELETT,2019-10-15,London,19,56
DAREN WINDRUM,2019-10-15,London,21,59
CARIA TRILLOW,2019-10-15,London,16,53
CORBY CRISTOFOLINI,2019-10-15,London,26,41
LAY TROSDALL,2019-04-16,London,21,61
KIMBELL LASSETER,2019-04-16,London,19,57
ORAZIO BRAWN,2019-04-16,London,25,68
CILKA ANLAY,2019-04-16,London,18,43
IRINA MARRITT,2019-04-16,London,23,61
TYE WORGEN,2019-04-16,London,13,52
DARCY SRUTTON,2019-04-16,London,21,66
WESTBROOKE WONHAM,2019-04-16,London,20,56
JESSEE CHISNALL,2019-04-16,London,24,51
ALI OUTRAM,2019-04-16,London,17,54
ANNALISE EASOM,2019-04-16,London,23,51
CORTY FREARSON,2019-04-16,London,21,50
TERRI SPENSLEY,2019-04-16,London,25,58
ELLI VILLALTA,2019-04-16,London,27,40
KARINA INGYON,2019-04-16,London,18,57
REINA LOUDIANE,2019-04-16,London,17,49
KARLENE MCDERMOTT-ROW,2019-04-16,London,19,64
STACIE HEADS,2019-04-16,London,23,63
DILLON GEMNETT,2019-04-16,London,24,55
CHLOETTE VAN WEEDENBURG,2019-04-16,London,22,47
LOUISE DOWSE,2019-04-16,London,20,50
YELENA KELLEWAY,2019-04-16,London,25,52
ISABELITA ALEXANDROU,2019-04-16,London,22,63
DICKIE KEARTON,2019-04-16,London,20,61
CELLE BARLAS,2019-04-16,London,23,65
HUEY BROODES,2019-01-16,London,25,46
LORIANNA WEINHAM,2019-01-16,London,18,53
INGAR HUCKSTEPP,2019-01-16,London,18,44
ROXANNE EDIE,2019-01-16,London,21,54
THORPE MADDIE,2019-01-16,London,16,49
ABIGAIL DUNSMORE,2019-01-16,London,25,56
GORAN ETON,2019-01-16,London,23,60
RAQUELA ELCOX,2019-01-16,London,22,63
YOLANDA FOSSE,2019-01-16,London,20,61
CORRI PUND,2019-01-16,London,26,58
STEPHAN BAHLS,2019-01-16,London,24,59
FELECIA MCBLAIN,2019-01-16,London,24,47
CONCHITA GUMEY,2019-01-16,London,18,57
PIERSON MILLS,2019-01-16,London,20,47
INGEBERG OTHEN,2019-01-16,London,20,59
GARVIN DRACEY,2019-01-16,London,23,54
GARROTT DEMAINE,2019-01-16,London,19,58
WILONA PAMMENTER,2019-01-16,London,15,63
LYNNETT SWIN,2019-01-16,London,23,58
GUSTAF LUDE,2019-01-16,London,20,51
MONAH DOWLING,2019-01-16,London,24,49
RANDALL WALLER,2019-01-16,London,19,53
THOMASINE POUNDFORD,2019-01-16,London,22,65
ANATOLE PETERFFY,2019-01-16,London,17,62
SIMON MURREY,2019-01-16,London,19,50
ZACCARIA BUSSONS,2019-01-16,London,20,61
STACI HARLETT,2019-01-16,London,11,56
TRSTRAM GOODYER,2019-01-16,London,20,61
THEODOSIA CREENAN,2019-01-16,London,22,52
MELBA COBAIN,2019-01-16,London,22,44
RICCA SOWDEN,2019-01-16,London,21,55
DRONA LEMONBY,2019-01-16,London,22,51
CORY GREENE,2019-01-16,London,24,58
DONALT GUMMOE,2019-07-16,London,19,66
FARLEE BAALHAM,2019-07-16,London,20,66
ZSA ZSA ROUNSEFULL,2019-07-16,London,20,61
VERENA TOWNES,2019-07-16,London,22,59
LUDVIG GRZES,2019-07-16,London,19,53
KAROLY SKATES,2019-07-16,London,20,51
KELLYANN YORKSTON,2019-07-16,London,21,54
OLLY MOUGENEL,2019-07-16,London,18,52
ALAN HALLEWELL,2019-07-16,London,13,68
BOWIE ENDERSBY,2019-07-16,London,23,51
ERINA STOCKAU,2019-07-16,London,21,46
FONS GHIOTTO,2019-07-16,London,19,58
MARKOS WALTER,2019-07-16,London,24,51
MIRILLA BOTTINELLI,2019-07-16,London,18,51
RODOLFO GARRET,2019-07-16,London,21,60
ALLI LUDEWIG,2019-07-16,London,22,64
ELNORE SCHWANDNER,2019-07-16,London,21,51
GRADEIGH HAMBLIN,2019-07-16,London,17,60
BREWER CALDERBANK,2019-07-16,London,20,50
NETTLE HEFFER,2019-07-16,London,21,43
ULRIKAUMEKO BOWSHER,2019-07-16,London,17,52
VINA FLOTT,2019-07-16,London,18,57
ALEXIS SHEE,2019-07-16,London,20,47
PORTIA FARFALAMEEV,2019-07-16,London,18,59
MARTELLE VENEUR,2019-07-16,London,14,43
TAD MCILHAGGA,2019-07-16,London,18,65
BOBBY MCCRACKEN,2019-05-16,Birmingham,24,46
ANDREI MUSSLEWHITE,2019-05-16,Birmingham,23,51
VILHELMINA KISSELL,2019-05-16,Birmingham,21,63
STANDFORD BREWITT,2019-05-16,Birmingham,22,56
ALFI MCCRACKEN,2019-05-16,Birmingham,18,63
MERCEDES CADDEN,2019-05-16,Birmingham,20,48
LINUS PIETRUSZEWICZ,2019-05-16,Birmingham,21,58
CORENA BIRTLEY,2019-05-16,Birmingham,25,46
PHILIPPA MCCALISTER,2019-05-16,Birmingham,16,51
SEBASTIANO RAMSBY,2019-05-16,Birmingham,16,43
PATIN STOREK,2019-05-16,Birmingham,24,51
ALIDIA GOVETT,2019-05-16,Birmingham,19,56
JUIETA TELLETT,2019-05-16,Birmingham,26,63
FONZ GRZEGORZEWICZ,2019-05-16,Birmingham,16,48
HEINDRICK MCKIDDIN,2019-05-16,Birmingham,25,58
BENEDIKT SCOGINGS,2019-05-16,Birmingham,25,59
DAVIDSON BISKUPIAK,2019-05-16,Birmingham,21,40
ABEY LIGHTOLLERS,2019-05-16,Birmingham,19,62
GERIANNE BAGGE,2019-05-16,Birmingham,16,58
FILBERTO ANNIS,2019-05-16,Birmingham,25,54
CLAY PERILLO,2019-10-16,London,18,68
MARGARETTA GEDLING,2019-10-16,London,25,55
ARLIE BAYNAM,2019-10-16,London,22,43
DEANA LYNDS,2019-10-16,London,25,61
CHUCHO KEGAN,2019-10-16,London,19,51
OLLY AITKENHEAD,2019-10-16,London,17,45
ADEY BRAMWELL,2019-10-16,London,12,52
JORDAIN OFFEN,2019-10-16,London,21,62
ENGLEBERT HEDMAN,2019-10-16,London,20,62
ELVERA GORMAN,2019-10-16,London,20,54
ALAND HOUCHIN,2019-10-16,London,17,44
JESUS KELLER,2019-10-16,London,12,54
ENGELBERT PALATINO,2019-10-16,London,24,64
ZONDRA LINDGREN,2019-10-16,London,19,48
CAREN PUIG,2019-10-16,London,24,54
MARMADUKE KIEFER,2019-10-16,London,21,64
GABI FICE,2019-10-16,London,22,55
TIFFI REDDLESDEN,2019-10-16,London,21,50
MIRABELLE TIDDER,2019-10-16,London,19,66
EVELYN LUKASH,2019-10-16,London,17,47
ELITA FOCH,2019-10-16,London,26,51
WINONA CARLAW,2019-10-16,London,24,68
RIVI EPINAY,2019-04-17,London,19,53
ASH HANNON,2019-04-17,London,19,59
MARIE-ANN VAAR,2019-04-17,London,21,52
ALLI SLEEFORD,2019-04-17,London,20,55
MAURE TINK,2019-04-17,London,17,47
ERASTUS WENGER,2019-04-17,London,18,43
BROOKS GETHOUSE,2019-04-17,London,19,55
ILKA MOODIE,2019-04-17,London,25,51
MYLO LEBAND,2019-04-17,London,16,44
GIANINA BESSENT,2019-04-17,London,25,56
BRENDON FERRIERI,2019-04-17,London,20,73
ASHLI MULLANEY,2019-04-17,London,19,49
ELLEREY SHENTON,2019-04-17,London,23,46
GUINNA GARFORD,2019-04-17,London,17,50
SUZY BLAISDELL,2019-04-17,London,24,59
GRADEY CONNOR,2019-04-17,London,22,54
CARLYN DURRAM,2019-04-17,London,14,55
BIDDY RAPPS,2019-04-17,London,19,53
THEA LABBEY,2019-04-17,London,22,40
ANNEMARIE DULINTY,2019-04-17,London,26,48
BETH TINER,2019-04-17,London,23,64
KAYLE FERENC,2019-04-17,London,20,52
GONZALO DANNIELL,2019-04-17,London,22,50
CHARMIAN MARTINUZZI,2019-12-17,London,22,58
EBA TARBATH,2019-12-17,London,21,51
